event_id,timestamp,user_id,app_name,prompt_text,tool_requested,data_requested,prompt_injection_score,policy_result,response_blocked_flag
ai_evt_000000,2026-01-01T00:00:00+00:00,user_0003,EnterpriseCopilot,summarize synthetic internal ticket,search_docs,none,14,allow,False
ai_evt_000001,2026-01-01T00:01:00+00:00,user_0348,SupportAgent,summarize synthetic internal ticket,none,public_metric,22,allow,False
ai_evt_000002,2026-01-01T00:02:00+00:00,user_0218,EnterpriseCopilot,summarize synthetic internal ticket,query_metrics,support_ticket,4,allow,False
ai_evt_000003,2026-01-01T00:03:00+00:00,user_0248,EnterpriseCopilot,summarize synthetic internal ticket,query_metrics,public_metric,31,allow_with_masking,False
ai_evt_000004,2026-01-01T00:04:00+00:00,user_0373,DataAssistant,summarize synthetic internal ticket,none,public_metric,36,allow,False
ai_evt_000005,2026-01-01T00:05:00+00:00,user_0192,SupportAgent,summarize synthetic internal ticket,none,none,37,allow,False
ai_evt_000006,2026-01-01T00:06:00+00:00,user_0406,DataAssistant,summarize synthetic internal ticket,query_metrics,public_metric,38,allow_with_masking,False
ai_evt_000007,2026-01-01T00:07:00+00:00,user_0032,SupportAgent,summarize synthetic internal ticket,search_docs,none,10,allow,False
ai_evt_000008,2026-01-01T00:08:00+00:00,user_0477,EnterpriseCopilot,summarize synthetic internal ticket,search_docs,support_ticket,3,allow,False
ai_evt_000009,2026-01-01T00:09:00+00:00,user_0183,DataAssistant,summarize synthetic internal ticket,search_docs,public_metric,27,allow_with_masking,False
ai_evt_000010,2026-01-01T00:10:00+00:00,user_0476,DataAssistant,summarize synthetic internal ticket,search_docs,public_metric,12,allow,False
ai_evt_000011,2026-01-01T00:11:00+00:00,user_0315,EnterpriseCopilot,summarize synthetic internal ticket,search_docs,none,31,allow,False
ai_evt_000012,2026-01-01T00:12:00+00:00,user_0342,DataAssistant,summarize synthetic internal ticket,query_metrics,support_ticket,3,allow,False
ai_evt_000013,2026-01-01T00:13:00+00:00,user_0314,SupportAgent,summarize synthetic internal ticket,query_metrics,none,40,allow,False
ai_evt_000014,2026-01-01T00:14:00+00:00,user_0409,EnterpriseCopilot,summarize synthetic internal ticket,none,support_ticket,16,allow_with_masking,False
ai_evt_000015,2026-01-01T00:15:00+00:00,user_0180,SupportAgent,summarize synthetic internal ticket,search_docs,none,1,allow_with_masking,False
ai_evt_000016,2026-01-01T00:16:00+00:00,user_0211,SupportAgent,summarize synthetic internal ticket,search_docs,none,44,allow,False
ai_evt_000017,2026-01-01T00:17:00+00:00,user_0104,DataAssistant,summarize synthetic internal ticket,none,public_metric,43,allow,False
ai_evt_000018,2026-01-01T00:18:00+00:00,user_0196,EnterpriseCopilot,summarize synthetic internal ticket,query_metrics,public_metric,20,allow,False
ai_evt_000019,2026-01-01T00:19:00+00:00,user_0023,DataAssistant,summarize synthetic internal ticket,none,public_metric,23,allow_with_masking,False
ai_evt_000020,2026-01-01T00:20:00+00:00,user_0023,EnterpriseCopilot,summarize synthetic internal ticket,search_docs,support_ticket,27,allow_with_masking,False
ai_evt_000021,2026-01-01T00:21:00+00:00,user_0415,SupportAgent,summarize synthetic internal ticket,none,public_metric,19,allow_with_masking,False
ai_evt_000022,2026-01-01T00:22:00+00:00,user_0178,DataAssistant,summarize synthetic internal ticket,none,public_metric,17,allow,False
ai_evt_000023,2026-01-01T00:23:00+00:00,user_0230,DataAssistant,summarize synthetic internal ticket,query_metrics,public_metric,11,allow_with_masking,False
ai_evt_000024,2026-01-01T00:24:00+00:00,user_0074,DataAssistant,summarize synthetic internal ticket,none,support_ticket,9,allow_with_masking,False
ai_evt_000025,2026-01-01T00:25:00+00:00,user_0457,EnterpriseCopilot,summarize synthetic internal ticket,none,public_metric,27,allow,False
ai_evt_000026,2026-01-01T00:26:00+00:00,user_0268,SupportAgent,summarize synthetic internal ticket,query_metrics,support_ticket,44,allow_with_masking,False
ai_evt_000027,2026-01-01T00:27:00+00:00,user_0442,EnterpriseCopilot,summarize synthetic internal ticket,query_metrics,none,22,allow_with_masking,False
ai_evt_000028,2026-01-01T00:28:00+00:00,user_0046,EnterpriseCopilot,summarize synthetic internal ticket,none,support_ticket,32,allow_with_masking,False
ai_evt_000029,2026-01-01T00:29:00+00:00,user_0372,EnterpriseCopilot,summarize synthetic internal ticket,query_metrics,none,22,allow,False
ai_evt_000030,2026-01-01T00:30:00+00:00,user_0029,SupportAgent,summarize synthetic internal ticket,search_docs,support_ticket,25,allow,False
ai_evt_000031,2026-01-01T00:31:00+00:00,user_0146,EnterpriseCopilot,summarize synthetic internal ticket,none,none,44,allow,False
ai_evt_000032,2026-01-01T00:32:00+00:00,user_0461,SupportAgent,summarize synthetic internal ticket,none,public_metric,8,allow_with_masking,False
ai_evt_000033,2026-01-01T00:33:00+00:00,user_0020,EnterpriseCopilot,summarize synthetic internal ticket,search_docs,none,37,allow,False
ai_evt_000034,2026-01-01T00:34:00+00:00,user_0278,SupportAgent,summarize synthetic internal ticket,search_docs,none,26,allow_with_masking,False
ai_evt_000035,2026-01-01T00:35:00+00:00,user_0088,EnterpriseCopilot,summarize synthetic internal ticket,query_metrics,public_metric,21,allow,False
ai_evt_000036,2026-01-01T00:36:00+00:00,user_0369,SupportAgent,summarize synthetic internal ticket,search_docs,support_ticket,18,allow,False
ai_evt_000037,2026-01-01T00:37:00+00:00,user_0154,SupportAgent,summarize synthetic internal ticket,search_docs,public_metric,35,allow_with_masking,False
ai_evt_000038,2026-01-01T00:38:00+00:00,user_0349,EnterpriseCopilot,summarize synthetic internal ticket,search_docs,public_metric,25,allow,False
ai_evt_000039,2026-01-01T00:39:00+00:00,user_0272,SupportAgent,summarize synthetic internal ticket,query_metrics,support_ticket,44,allow,False
ai_evt_000040,2026-01-01T00:40:00+00:00,user_0095,SupportAgent,summarize synthetic internal ticket,search_docs,support_ticket,15,allow,False
ai_evt_000041,2026-01-01T00:41:00+00:00,user_0119,DataAssistant,summarize synthetic internal ticket,none,public_metric,2,allow,False
ai_evt_000042,2026-01-01T00:42:00+00:00,user_0122,DataAssistant,summarize synthetic internal ticket,none,public_metric,13,allow,False
ai_evt_000043,2026-01-01T00:43:00+00:00,user_0103,SupportAgent,summarize synthetic internal ticket,none,public_metric,42,allow_with_masking,False
ai_evt_000044,2026-01-01T00:44:00+00:00,user_0117,DataAssistant,summarize synthetic internal ticket,search_docs,support_ticket,33,allow_with_masking,False
ai_evt_000045,2026-01-01T00:45:00+00:00,user_0235,EnterpriseCopilot,summarize synthetic internal ticket,search_docs,public_metric,28,allow,False
ai_evt_000046,2026-01-01T00:46:00+00:00,user_0338,SupportAgent,summarize synthetic internal ticket,search_docs,public_metric,33,allow_with_masking,False
ai_evt_000047,2026-01-01T00:47:00+00:00,user_0153,EnterpriseCopilot,summarize synthetic internal ticket,search_docs,public_metric,4,allow_with_masking,False
ai_evt_000048,2026-01-01T00:48:00+00:00,user_0044,SupportAgent,summarize synthetic internal ticket,search_docs,public_metric,28,allow,False
ai_evt_000049,2026-01-01T00:49:00+00:00,user_0059,EnterpriseCopilot,summarize synthetic internal ticket,query_metrics,none,7,allow_with_masking,False
ai_evt_000050,2026-01-01T00:50:00+00:00,user_0110,DataAssistant,summarize synthetic internal ticket,none,none,27,allow_with_masking,False
ai_evt_000051,2026-01-01T00:51:00+00:00,user_0292,DataAssistant,summarize synthetic internal ticket,none,support_ticket,26,allow,False
ai_evt_000052,2026-01-01T00:52:00+00:00,user_0369,SupportAgent,summarize synthetic internal ticket,query_metrics,public_metric,29,allow_with_masking,False
ai_evt_000053,2026-01-01T00:53:00+00:00,user_0145,SupportAgent,summarize synthetic internal ticket,search_docs,support_ticket,16,allow_with_masking,False
ai_evt_000054,2026-01-01T00:54:00+00:00,user_0190,SupportAgent,summarize synthetic internal ticket,search_docs,support_ticket,17,allow_with_masking,False
ai_evt_000055,2026-01-01T00:55:00+00:00,user_0349,EnterpriseCopilot,summarize synthetic internal ticket,search_docs,none,17,allow,False
ai_evt_000056,2026-01-01T00:56:00+00:00,user_0439,SupportAgent,summarize synthetic internal ticket,none,support_ticket,44,allow_with_masking,False
ai_evt_000057,2026-01-01T00:57:00+00:00,user_0285,DataAssistant,summarize synthetic internal ticket,none,public_metric,32,allow_with_masking,False
ai_evt_000058,2026-01-01T00:58:00+00:00,user_0425,EnterpriseCopilot,summarize synthetic internal ticket,none,none,10,allow_with_masking,False
ai_evt_000059,2026-01-01T00:59:00+00:00,user_0130,DataAssistant,summarize synthetic internal ticket,search_docs,none,5,allow,False
ai_evt_000060,2026-01-01T01:00:00+00:00,user_0304,SupportAgent,summarize synthetic internal ticket,none,public_metric,30,allow,False
ai_evt_000061,2026-01-01T01:01:00+00:00,user_0309,DataAssistant,summarize synthetic internal ticket,query_metrics,support_ticket,39,allow_with_masking,False
ai_evt_000062,2026-01-01T01:02:00+00:00,user_0092,DataAssistant,summarize synthetic internal ticket,search_docs,public_metric,41,allow,False
ai_evt_000063,2026-01-01T01:03:00+00:00,user_0220,SupportAgent,summarize synthetic internal ticket,query_metrics,support_ticket,22,allow_with_masking,False
ai_evt_000064,2026-01-01T01:04:00+00:00,user_0337,DataAssistant,summarize synthetic internal ticket,search_docs,none,18,allow_with_masking,False
ai_evt_000065,2026-01-01T01:05:00+00:00,user_0443,SupportAgent,summarize synthetic internal ticket,none,support_ticket,12,allow_with_masking,False
ai_evt_000066,2026-01-01T01:06:00+00:00,user_0193,EnterpriseCopilot,summarize synthetic internal ticket,query_metrics,public_metric,0,allow,False
ai_evt_000067,2026-01-01T01:07:00+00:00,user_0260,SupportAgent,summarize synthetic internal ticket,query_metrics,none,29,allow,False
ai_evt_000068,2026-01-01T01:08:00+00:00,user_0332,SupportAgent,summarize synthetic internal ticket,search_docs,none,27,allow_with_masking,False
ai_evt_000069,2026-01-01T01:09:00+00:00,user_0394,DataAssistant,summarize synthetic internal ticket,query_metrics,support_ticket,6,allow_with_masking,False
ai_evt_000070,2026-01-01T01:10:00+00:00,user_0066,EnterpriseCopilot,summarize synthetic internal ticket,none,support_ticket,12,allow_with_masking,False
ai_evt_000071,2026-01-01T01:11:00+00:00,user_0052,SupportAgent,summarize synthetic internal ticket,search_docs,support_ticket,40,allow_with_masking,False
ai_evt_000072,2026-01-01T01:12:00+00:00,user_0434,DataAssistant,summarize synthetic internal ticket,none,support_ticket,16,allow,False
ai_evt_000073,2026-01-01T01:13:00+00:00,user_0169,EnterpriseCopilot,summarize synthetic internal ticket,none,public_metric,33,allow_with_masking,False
ai_evt_000074,2026-01-01T01:14:00+00:00,user_0188,EnterpriseCopilot,summarize synthetic internal ticket,none,public_metric,20,allow,False
ai_evt_000075,2026-01-01T01:15:00+00:00,user_0023,SupportAgent,summarize synthetic internal ticket,search_docs,none,0,allow_with_masking,False
ai_evt_000076,2026-01-01T01:16:00+00:00,user_0093,SupportAgent,summarize synthetic internal ticket,search_docs,none,41,allow_with_masking,False
ai_evt_000077,2026-01-01T01:17:00+00:00,user_0291,EnterpriseCopilot,summarize synthetic internal ticket,query_metrics,public_metric,10,allow,False
ai_evt_000078,2026-01-01T01:18:00+00:00,user_0230,SupportAgent,summarize synthetic internal ticket,search_docs,none,6,allow_with_masking,False
ai_evt_000079,2026-01-01T01:19:00+00:00,user_0407,EnterpriseCopilot,summarize synthetic internal ticket,none,none,26,allow,False
ai_evt_000080,2026-01-01T01:20:00+00:00,user_0438,SupportAgent,summarize synthetic internal ticket,search_docs,none,8,allow,False
ai_evt_000081,2026-01-01T01:21:00+00:00,user_0484,DataAssistant,summarize synthetic internal ticket,query_metrics,support_ticket,33,allow,False
ai_evt_000082,2026-01-01T01:22:00+00:00,user_0029,DataAssistant,summarize synthetic internal ticket,query_metrics,support_ticket,0,allow,False
ai_evt_000083,2026-01-01T01:23:00+00:00,user_0322,EnterpriseCopilot,summarize synthetic internal ticket,search_docs,none,38,allow,False
ai_evt_000084,2026-01-01T01:24:00+00:00,user_0020,DataAssistant,summarize synthetic internal ticket,none,support_ticket,44,allow_with_masking,False
ai_evt_000085,2026-01-01T01:25:00+00:00,user_0107,EnterpriseCopilot,summarize synthetic internal ticket,none,support_ticket,10,allow_with_masking,False
ai_evt_000086,2026-01-01T01:26:00+00:00,user_0347,DataAssistant,summarize synthetic internal ticket,search_docs,public_metric,43,allow,False
ai_evt_000087,2026-01-01T01:27:00+00:00,user_0411,DataAssistant,summarize synthetic internal ticket,none,none,26,allow_with_masking,False
ai_evt_000088,2026-01-01T01:28:00+00:00,user_0240,SupportAgent,summarize synthetic internal ticket,search_docs,public_metric,40,allow,False
ai_evt_000089,2026-01-01T01:29:00+00:00,user_0272,SupportAgent,summarize synthetic internal ticket,none,support_ticket,33,allow_with_masking,False
ai_evt_000090,2026-01-01T01:30:00+00:00,user_0028,SupportAgent,summarize synthetic internal ticket,none,support_ticket,3,allow,False
ai_evt_000091,2026-01-01T01:31:00+00:00,user_0440,SupportAgent,summarize synthetic internal ticket,search_docs,none,26,allow,False
ai_evt_000092,2026-01-01T01:32:00+00:00,user_0006,DataAssistant,summarize synthetic internal ticket,query_metrics,public_metric,10,allow_with_masking,False
ai_evt_000093,2026-01-01T01:33:00+00:00,user_0416,EnterpriseCopilot,summarize synthetic internal ticket,query_metrics,public_metric,9,allow_with_masking,False
ai_evt_000094,2026-01-01T01:34:00+00:00,user_0355,DataAssistant,summarize synthetic internal ticket,query_metrics,public_metric,26,allow,False
ai_evt_000095,2026-01-01T01:35:00+00:00,user_0204,EnterpriseCopilot,summarize synthetic internal ticket,search_docs,public_metric,25,allow,False
ai_evt_000096,2026-01-01T01:36:00+00:00,user_0339,SupportAgent,summarize synthetic internal ticket,query_metrics,support_ticket,17,allow_with_masking,False
ai_evt_000097,2026-01-01T01:37:00+00:00,user_0381,SupportAgent,summarize synthetic internal ticket,search_docs,support_ticket,2,allow_with_masking,False
ai_evt_000098,2026-01-01T01:38:00+00:00,user_0427,DataAssistant,summarize synthetic internal ticket,none,none,34,allow,False
