event_id,timestamp,device_id,query_domain,query_type,response_code,threat_intel_flag
dns_evt_000000,2026-01-01T00:00:00+00:00,endpoint_0894,service-0.synthetic.example,AAAA,NOERROR,False
dns_evt_000001,2026-01-01T00:01:00+00:00,endpoint_0495,service-1.synthetic.example,AAAA,NOERROR,False
dns_evt_000002,2026-01-01T00:02:00+00:00,endpoint_0035,service-2.synthetic.example,TXT,NXDOMAIN,False
dns_evt_000003,2026-01-01T00:03:00+00:00,endpoint_0417,service-3.synthetic.example,A,NOERROR,False
dns_evt_000004,2026-01-01T00:04:00+00:00,endpoint_0052,service-4.synthetic.example,A,NOERROR,False
dns_evt_000005,2026-01-01T00:05:00+00:00,endpoint_0133,service-5.synthetic.example,AAAA,NOERROR,False
dns_evt_000006,2026-01-01T00:06:00+00:00,endpoint_0810,service-6.synthetic.example,TXT,NOERROR,False
dns_evt_000007,2026-01-01T00:07:00+00:00,endpoint_0087,service-7.synthetic.example,AAAA,NOERROR,False
dns_evt_000008,2026-01-01T00:08:00+00:00,endpoint_0364,service-8.synthetic.example,TXT,NOERROR,False
dns_evt_000009,2026-01-01T00:09:00+00:00,endpoint_0569,service-9.synthetic.example,AAAA,NOERROR,False
dns_evt_000010,2026-01-01T00:10:00+00:00,endpoint_0861,service-10.synthetic.example,TXT,NOERROR,False
dns_evt_000011,2026-01-01T00:11:00+00:00,endpoint_0408,service-11.synthetic.example,A,NXDOMAIN,False
dns_evt_000012,2026-01-01T00:12:00+00:00,endpoint_0410,service-12.synthetic.example,A,NOERROR,False
dns_evt_000013,2026-01-01T00:13:00+00:00,endpoint_0247,service-13.synthetic.example,TXT,NOERROR,False
dns_evt_000014,2026-01-01T00:14:00+00:00,endpoint_0019,service-14.synthetic.example,AAAA,NOERROR,False
dns_evt_000015,2026-01-01T00:15:00+00:00,endpoint_0054,service-15.synthetic.example,AAAA,NOERROR,False
dns_evt_000016,2026-01-01T00:16:00+00:00,endpoint_0018,service-16.synthetic.example,AAAA,NOERROR,False
dns_evt_000017,2026-01-01T00:17:00+00:00,endpoint_0292,service-17.synthetic.example,TXT,NOERROR,False
dns_evt_000018,2026-01-01T00:18:00+00:00,endpoint_0860,service-18.synthetic.example,TXT,NOERROR,False
dns_evt_000019,2026-01-01T00:19:00+00:00,endpoint_0216,service-19.synthetic.example,AAAA,NOERROR,False
dns_evt_000020,2026-01-01T00:20:00+00:00,endpoint_0667,service-20.synthetic.example,TXT,NXDOMAIN,False
dns_evt_000021,2026-01-01T00:21:00+00:00,endpoint_0309,service-21.synthetic.example,AAAA,NXDOMAIN,False
dns_evt_000022,2026-01-01T00:22:00+00:00,endpoint_0191,service-22.synthetic.example,TXT,NOERROR,False
dns_evt_000023,2026-01-01T00:23:00+00:00,endpoint_0198,service-23.synthetic.example,TXT,NOERROR,False
dns_evt_000024,2026-01-01T00:24:00+00:00,endpoint_0587,service-24.synthetic.example,TXT,NOERROR,False
dns_evt_000025,2026-01-01T00:25:00+00:00,endpoint_0068,service-25.synthetic.example,A,NOERROR,False
dns_evt_000026,2026-01-01T00:26:00+00:00,endpoint_0512,service-26.synthetic.example,A,NOERROR,False
dns_evt_000027,2026-01-01T00:27:00+00:00,endpoint_0617,service-27.synthetic.example,A,NOERROR,False
dns_evt_000028,2026-01-01T00:28:00+00:00,endpoint_0642,service-28.synthetic.example,AAAA,NOERROR,False
dns_evt_000029,2026-01-01T00:29:00+00:00,endpoint_0434,service-29.synthetic.example,A,NOERROR,False
dns_evt_000030,2026-01-01T00:30:00+00:00,endpoint_0924,service-30.synthetic.example,A,NOERROR,False
dns_evt_000031,2026-01-01T00:31:00+00:00,endpoint_0035,service-31.synthetic.example,TXT,NOERROR,False
dns_evt_000032,2026-01-01T00:32:00+00:00,endpoint_0706,service-32.synthetic.example,TXT,NOERROR,False
dns_evt_000033,2026-01-01T00:33:00+00:00,endpoint_0337,service-33.synthetic.example,TXT,NOERROR,False
dns_evt_000034,2026-01-01T00:34:00+00:00,endpoint_0876,service-34.synthetic.example,TXT,NOERROR,False
dns_evt_000035,2026-01-01T00:35:00+00:00,endpoint_0714,service-35.synthetic.example,A,NOERROR,False
dns_evt_000036,2026-01-01T00:36:00+00:00,endpoint_0118,service-36.synthetic.example,AAAA,NOERROR,False
dns_evt_000037,2026-01-01T00:37:00+00:00,endpoint_0820,service-37.synthetic.example,TXT,NOERROR,False
dns_evt_000038,2026-01-01T00:38:00+00:00,endpoint_0112,service-38.synthetic.example,AAAA,NOERROR,False
dns_evt_000039,2026-01-01T00:39:00+00:00,endpoint_0091,service-39.synthetic.example,TXT,NOERROR,False
dns_evt_000040,2026-01-01T00:40:00+00:00,endpoint_0419,service-40.synthetic.example,AAAA,NOERROR,False
dns_evt_000041,2026-01-01T00:41:00+00:00,endpoint_0360,service-41.synthetic.example,TXT,NOERROR,False
dns_evt_000042,2026-01-01T00:42:00+00:00,endpoint_0571,service-42.synthetic.example,TXT,NOERROR,False
dns_evt_000043,2026-01-01T00:43:00+00:00,endpoint_0689,service-43.synthetic.example,A,NXDOMAIN,False
dns_evt_000044,2026-01-01T00:44:00+00:00,endpoint_0924,service-44.synthetic.example,TXT,NOERROR,False
dns_evt_000045,2026-01-01T00:45:00+00:00,endpoint_0055,service-45.synthetic.example,TXT,NOERROR,False
dns_evt_000046,2026-01-01T00:46:00+00:00,endpoint_0830,service-46.synthetic.example,A,NOERROR,False
dns_evt_000047,2026-01-01T00:47:00+00:00,endpoint_0734,service-47.synthetic.example,AAAA,NOERROR,False
dns_evt_000048,2026-01-01T00:48:00+00:00,endpoint_0493,service-48.synthetic.example,TXT,NOERROR,False
dns_evt_000049,2026-01-01T00:49:00+00:00,endpoint_0421,service-49.synthetic.example,TXT,NOERROR,False
dns_evt_000050,2026-01-01T00:50:00+00:00,endpoint_0755,service-50.synthetic.example,TXT,NXDOMAIN,False
dns_evt_000051,2026-01-01T00:51:00+00:00,endpoint_0016,service-51.synthetic.example,A,NOERROR,False
dns_evt_000052,2026-01-01T00:52:00+00:00,endpoint_0036,service-52.synthetic.example,TXT,NOERROR,False
