event_id,timestamp,sender,recipient,subject,attachment_type,url_count,phishing_score,delivered_flag,clicked_flag
mail_evt_000000,2026-01-01T00:00:00+00:00,sender0@synthetic-mail.example,user_0483,Synthetic business message,none,4,38,True,False
mail_evt_000001,2026-01-01T00:01:00+00:00,sender1@synthetic-mail.example,user_0330,Synthetic business message,zip,1,9,True,False
mail_evt_000002,2026-01-01T00:02:00+00:00,sender2@synthetic-mail.example,user_0272,Synthetic business message,pdf,0,26,True,False
mail_evt_000003,2026-01-01T00:03:00+00:00,sender3@synthetic-mail.example,user_0103,Synthetic business message,none,1,16,True,False
mail_evt_000004,2026-01-01T00:04:00+00:00,sender4@synthetic-mail.example,user_0308,Synthetic business message,docx,1,34,True,False
mail_evt_000005,2026-01-01T00:05:00+00:00,sender5@synthetic-mail.example,user_0498,Synthetic business message,zip,0,30,True,False
mail_evt_000006,2026-01-01T00:06:00+00:00,sender6@synthetic-mail.example,user_0275,Synthetic business message,zip,2,24,True,False
mail_evt_000007,2026-01-01T00:07:00+00:00,sender7@synthetic-mail.example,user_0081,Synthetic business message,pdf,3,48,True,False
mail_evt_000008,2026-01-01T00:08:00+00:00,sender8@synthetic-mail.example,user_0440,Synthetic business message,none,2,5,True,True
mail_evt_000009,2026-01-01T00:09:00+00:00,sender9@synthetic-mail.example,user_0218,Synthetic business message,none,0,22,True,False
mail_evt_000010,2026-01-01T00:10:00+00:00,sender10@synthetic-mail.example,user_0021,Synthetic business message,docx,4,33,True,False
mail_evt_000011,2026-01-01T00:11:00+00:00,sender11@synthetic-mail.example,user_0269,Synthetic business message,zip,2,10,True,False
mail_evt_000012,2026-01-01T00:12:00+00:00,sender12@synthetic-mail.example,user_0418,Synthetic business message,zip,0,10,True,False
mail_evt_000013,2026-01-01T00:13:00+00:00,sender13@synthetic-mail.example,user_0484,Synthetic business message,docx,0,40,True,False
mail_evt_000014,2026-01-01T00:14:00+00:00,sender14@synthetic-mail.example,user_0093,Synthetic business message,none,3,11,True,False
mail_evt_000015,2026-01-01T00:15:00+00:00,sender15@synthetic-mail.example,user_0044,Synthetic business message,pdf,2,2,True,False
mail_evt_000016,2026-01-01T00:16:00+00:00,sender16@synthetic-mail.example,user_0355,Synthetic business message,none,3,41,True,False
mail_evt_000017,2026-01-01T00:17:00+00:00,sender17@synthetic-mail.example,user_0465,Synthetic business message,none,3,42,True,True
mail_evt_000018,2026-01-01T00:18:00+00:00,sender18@synthetic-mail.example,user_0183,Synthetic business message,none,1,53,True,False
mail_evt_000019,2026-01-01T00:19:00+00:00,sender19@synthetic-mail.example,user_0439,Synthetic business message,pdf,1,33,True,False
mail_evt_000020,2026-01-01T00:20:00+00:00,sender20@synthetic-mail.example,user_0219,Synthetic business message,none,4,20,True,False
