event_id,timestamp,src_ip,dst_ip,dst_port,action,rule_name,bytes_transferred
fw_evt_000000,2026-01-01T00:00:00+00:00,10.2.0.0,198.51.100.0,443,allow,default_allow,192758
fw_evt_000001,2026-01-01T00:01:00+00:00,10.2.1.1,198.51.100.1,4444,allow,egress_monitor,48138
fw_evt_000002,2026-01-01T00:02:00+00:00,10.2.2.2,198.51.100.2,53,deny,default_allow,194359
fw_evt_000003,2026-01-01T00:03:00+00:00,10.2.3.3,198.51.100.3,22,allow,block_known_bad,313845
fw_evt_000004,2026-01-01T00:04:00+00:00,10.2.4.4,198.51.100.4,22,allow,default_allow,75998
fw_evt_000005,2026-01-01T00:05:00+00:00,10.2.5.5,198.51.100.5,53,allow,egress_monitor,284147
fw_evt_000006,2026-01-01T00:06:00+00:00,10.2.6.6,198.51.100.6,22,allow,block_known_bad,300288
fw_evt_000007,2026-01-01T00:07:00+00:00,10.2.7.7,198.51.100.7,443,allow,egress_monitor,499379
fw_evt_000008,2026-01-01T00:08:00+00:00,10.2.8.8,198.51.100.8,443,allow,egress_monitor,55667
fw_evt_000009,2026-01-01T00:09:00+00:00,10.2.9.9,198.51.100.9,443,allow,egress_monitor,158434
fw_evt_000010,2026-01-01T00:10:00+00:00,10.2.10.10,198.51.100.10,53,allow,block_known_bad,29275
fw_evt_000011,2026-01-01T00:11:00+00:00,10.2.11.11,198.51.100.11,4444,deny,block_known_bad,192032
fw_evt_000012,2026-01-01T00:12:00+00:00,10.2.12.12,198.51.100.12,443,allow,egress_monitor,315761
fw_evt_000013,2026-01-01T00:13:00+00:00,10.2.13.13,198.51.100.13,53,allow,egress_monitor,356093
fw_evt_000014,2026-01-01T00:14:00+00:00,10.2.14.14,198.51.100.14,53,allow,block_known_bad,106634
fw_evt_000015,2026-01-01T00:15:00+00:00,10.2.15.15,198.51.100.15,80,allow,default_allow,280848
fw_evt_000016,2026-01-01T00:16:00+00:00,10.2.16.16,198.51.100.16,22,allow,default_allow,162438
fw_evt_000017,2026-01-01T00:17:00+00:00,10.2.17.17,198.51.100.17,53,allow,egress_monitor,51597
fw_evt_000018,2026-01-01T00:18:00+00:00,10.2.18.18,198.51.100.18,80,allow,egress_monitor,371508
fw_evt_000019,2026-01-01T00:19:00+00:00,10.2.19.19,198.51.100.19,4444,allow,default_allow,207388
fw_evt_000020,2026-01-01T00:20:00+00:00,10.2.20.20,198.51.100.20,53,deny,block_known_bad,31284
fw_evt_000021,2026-01-01T00:21:00+00:00,10.2.21.21,198.51.100.21,53,allow,default_allow,68721
fw_evt_000022,2026-01-01T00:22:00+00:00,10.2.22.22,198.51.100.22,4444,deny,default_allow,316995
fw_evt_000023,2026-01-01T00:23:00+00:00,10.2.23.23,198.51.100.23,4444,allow,default_allow,18719
fw_evt_000024,2026-01-01T00:24:00+00:00,10.2.24.24,198.51.100.24,443,deny,egress_monitor,208047
fw_evt_000025,2026-01-01T00:25:00+00:00,10.2.25.25,198.51.100.25,443,allow,default_allow,29867
fw_evt_000026,2026-01-01T00:26:00+00:00,10.2.26.26,198.51.100.26,4444,allow,block_known_bad,477222
fw_evt_000027,2026-01-01T00:27:00+00:00,10.2.27.27,198.51.100.27,80,allow,block_known_bad,195037
fw_evt_000028,2026-01-01T00:28:00+00:00,10.2.28.28,198.51.100.28,22,deny,egress_monitor,217655
fw_evt_000029,2026-01-01T00:29:00+00:00,10.2.29.29,198.51.100.29,22,allow,block_known_bad,266437
fw_evt_000030,2026-01-01T00:30:00+00:00,10.2.30.30,198.51.100.30,443,allow,default_allow,174012
fw_evt_000031,2026-01-01T00:31:00+00:00,10.2.31.31,198.51.100.31,4444,allow,block_known_bad,242289
fw_evt_000032,2026-01-01T00:32:00+00:00,10.2.32.32,198.51.100.32,53,allow,default_allow,111116
fw_evt_000033,2026-01-01T00:33:00+00:00,10.2.33.33,198.51.100.33,443,allow,block_known_bad,398805
fw_evt_000034,2026-01-01T00:34:00+00:00,10.2.34.34,198.51.100.34,80,allow,block_known_bad,434372
fw_evt_000035,2026-01-01T00:35:00+00:00,10.2.35.35,198.51.100.35,443,allow,default_allow,160426
fw_evt_000036,2026-01-01T00:36:00+00:00,10.2.36.36,198.51.100.36,443,allow,default_allow,204578
fw_evt_000037,2026-01-01T00:37:00+00:00,10.2.37.37,198.51.100.37,4444,allow,default_allow,482410
fw_evt_000038,2026-01-01T00:38:00+00:00,10.2.38.38,198.51.100.38,443,deny,block_known_bad,134558
fw_evt_000039,2026-01-01T00:39:00+00:00,10.2.39.39,198.51.100.39,53,allow,egress_monitor,288465
fw_evt_000040,2026-01-01T00:40:00+00:00,10.2.40.40,198.51.100.40,4444,allow,egress_monitor,43564
fw_evt_000041,2026-01-01T00:41:00+00:00,10.2.41.41,198.51.100.41,4444,allow,default_allow,460481
fw_evt_000042,2026-01-01T00:42:00+00:00,10.2.42.42,198.51.100.42,80,allow,egress_monitor,485297
fw_evt_000043,2026-01-01T00:43:00+00:00,10.2.43.43,198.51.100.43,22,allow,default_allow,480447
fw_evt_000044,2026-01-01T00:44:00+00:00,10.2.44.44,198.51.100.44,4444,allow,block_known_bad,464255
fw_evt_000045,2026-01-01T00:45:00+00:00,10.2.45.45,198.51.100.45,53,allow,egress_monitor,297744
fw_evt_000046,2026-01-01T00:46:00+00:00,10.2.46.46,198.51.100.46,53,allow,default_allow,343283
fw_evt_000047,2026-01-01T00:47:00+00:00,10.2.47.47,198.51.100.47,443,allow,egress_monitor,343740
fw_evt_000048,2026-01-01T00:48:00+00:00,10.2.48.48,198.51.100.48,22,allow,default_allow,262173
fw_evt_000049,2026-01-01T00:49:00+00:00,10.2.49.49,198.51.100.49,443,allow,block_known_bad,9482
fw_evt_000050,2026-01-01T00:50:00+00:00,10.2.50.50,198.51.100.50,22,allow,default_allow,465748
fw_evt_000051,2026-01-01T00:51:00+00:00,10.2.51.51,198.51.100.51,80,deny,egress_monitor,304966
fw_evt_000052,2026-01-01T00:52:00+00:00,10.2.52.52,198.51.100.52,4444,allow,default_allow,45830
fw_evt_000053,2026-01-01T00:53:00+00:00,10.2.53.53,198.51.100.53,4444,deny,egress_monitor,384826
fw_evt_000054,2026-01-01T00:54:00+00:00,10.2.54.54,198.51.100.54,443,allow,egress_monitor,19448
fw_evt_000055,2026-01-01T00:55:00+00:00,10.2.55.55,198.51.100.55,80,allow,egress_monitor,82784
fw_evt_000056,2026-01-01T00:56:00+00:00,10.2.56.56,198.51.100.56,22,allow,egress_monitor,344130
fw_evt_000057,2026-01-01T00:57:00+00:00,10.2.57.57,198.51.100.57,443,allow,egress_monitor,69670
fw_evt_000058,2026-01-01T00:58:00+00:00,10.2.58.58,198.51.100.58,443,allow,block_known_bad,455363
fw_evt_000059,2026-01-01T00:59:00+00:00,10.2.59.59,198.51.100.59,4444,allow,egress_monitor,162703
fw_evt_000060,2026-01-01T01:00:00+00:00,10.2.60.60,198.51.100.60,80,allow,default_allow,196466
fw_evt_000061,2026-01-01T01:01:00+00:00,10.2.61.61,198.51.100.61,80,deny,egress_monitor,239349
fw_evt_000062,2026-01-01T01:02:00+00:00,10.2.62.62,198.51.100.62,80,allow,default_allow,270038
fw_evt_000063,2026-01-01T01:03:00+00:00,10.2.63.63,198.51.100.63,443,allow,block_known_bad,222386
fw_evt_000064,2026-01-01T01:04:00+00:00,10.2.64.64,198.51.100.64,4444,allow,block_known_bad,228849
fw_evt_000065,2026-01-01T01:05:00+00:00,10.2.65.65,198.51.100.65,80,deny,default_allow,73407
fw_evt_000066,2026-01-01T01:06:00+00:00,10.2.66.66,198.51.100.66,22,allow,block_known_bad,373577
fw_evt_000067,2026-01-01T01:07:00+00:00,10.2.67.67,198.51.100.67,443,allow,egress_monitor,423645
fw_evt_000068,2026-01-01T01:08:00+00:00,10.2.68.68,198.51.100.68,80,deny,egress_monitor,295674
fw_evt_000069,2026-01-01T01:09:00+00:00,10.2.69.69,198.51.100.69,443,allow,block_known_bad,405116
fw_evt_000070,2026-01-01T01:10:00+00:00,10.2.70.70,198.51.100.70,4444,allow,default_allow,343115
fw_evt_000071,2026-01-01T01:11:00+00:00,10.2.71.71,198.51.100.71,53,allow,block_known_bad,354392
fw_evt_000072,2026-01-01T01:12:00+00:00,10.2.72.72,198.51.100.72,53,allow,block_known_bad,446668
fw_evt_000073,2026-01-01T01:13:00+00:00,10.2.73.73,198.51.100.73,4444,allow,default_allow,244057
fw_evt_000074,2026-01-01T01:14:00+00:00,10.2.74.74,198.51.100.74,80,allow,default_allow,81596
fw_evt_000075,2026-01-01T01:15:00+00:00,10.2.75.75,198.51.100.75,443,allow,block_known_bad,319476
fw_evt_000076,2026-01-01T01:16:00+00:00,10.2.76.76,198.51.100.76,80,allow,egress_monitor,402447
fw_evt_000077,2026-01-01T01:17:00+00:00,10.2.77.77,198.51.100.77,53,allow,block_known_bad,481529
fw_evt_000078,2026-01-01T01:18:00+00:00,10.2.78.78,198.51.100.78,53,allow,egress_monitor,209105
fw_evt_000079,2026-01-01T01:19:00+00:00,10.2.79.79,198.51.100.79,443,allow,block_known_bad,226326
fw_evt_000080,2026-01-01T01:20:00+00:00,10.2.80.80,198.51.100.80,53,allow,default_allow,1039
fw_evt_000081,2026-01-01T01:21:00+00:00,10.2.81.81,198.51.100.81,443,allow,egress_monitor,176709
fw_evt_000082,2026-01-01T01:22:00+00:00,10.2.82.82,198.51.100.82,53,allow,default_allow,60766
fw_evt_000083,2026-01-01T01:23:00+00:00,10.2.83.83,198.51.100.83,80,allow,default_allow,368597
fw_evt_000084,2026-01-01T01:24:00+00:00,10.2.84.84,198.51.100.84,443,allow,egress_monitor,368700
fw_evt_000085,2026-01-01T01:25:00+00:00,10.2.85.85,198.51.100.85,53,allow,block_known_bad,374348
fw_evt_000086,2026-01-01T01:26:00+00:00,10.2.86.86,198.51.100.86,53,allow,default_allow,304410
fw_evt_000087,2026-01-01T01:27:00+00:00,10.2.87.87,198.51.100.87,80,allow,default_allow,458621
fw_evt_000088,2026-01-01T01:28:00+00:00,10.2.88.88,198.51.100.88,80,allow,block_known_bad,458516
