event_id,timestamp,app_name,user_id,action,object_type,object_id,sharing_scope,result
saas_evt_000000,2026-01-01T00:00:00+00:00,DriveBox,user_0295,view,oauth_app,object_0000,private,success
saas_evt_000001,2026-01-01T00:01:00+00:00,WikiHub,user_0060,share,oauth_app,object_0001,private,success
saas_evt_000002,2026-01-01T00:02:00+00:00,DriveBox,user_0288,oauth_consent,document,object_0002,private,success
saas_evt_000003,2026-01-01T00:03:00+00:00,SalesDesk,user_0240,oauth_consent,oauth_app,object_0003,private,success
saas_evt_000004,2026-01-01T00:04:00+00:00,SalesDesk,user_0469,download,document,object_0004,team,success
saas_evt_000005,2026-01-01T00:05:00+00:00,DriveBox,user_0292,share,oauth_app,object_0005,private,success
saas_evt_000006,2026-01-01T00:06:00+00:00,SalesDesk,user_0292,oauth_consent,document,object_0006,team,success
saas_evt_000007,2026-01-01T00:07:00+00:00,DriveBox,user_0047,view,folder,object_0007,team,success
saas_evt_000008,2026-01-01T00:08:00+00:00,DriveBox,user_0311,view,folder,object_0008,private,success
saas_evt_000009,2026-01-01T00:09:00+00:00,WikiHub,user_0326,oauth_consent,document,object_0009,team,success
saas_evt_000010,2026-01-01T00:10:00+00:00,WikiHub,user_0497,share,oauth_app,object_0010,private,success
saas_evt_000011,2026-01-01T00:11:00+00:00,SalesDesk,user_0030,oauth_consent,oauth_app,object_0011,private,success
saas_evt_000012,2026-01-01T00:12:00+00:00,SalesDesk,user_0227,download,folder,object_0012,private,success
saas_evt_000013,2026-01-01T00:13:00+00:00,DriveBox,user_0434,download,folder,object_0013,private,success
saas_evt_000014,2026-01-01T00:14:00+00:00,DriveBox,user_0430,download,folder,object_0014,private,success
saas_evt_000015,2026-01-01T00:15:00+00:00,DriveBox,user_0257,oauth_consent,oauth_app,object_0015,private,success
saas_evt_000016,2026-01-01T00:16:00+00:00,WikiHub,user_0410,download,folder,object_0016,private,success
saas_evt_000017,2026-01-01T00:17:00+00:00,DriveBox,user_0234,download,document,object_0017,private,success
saas_evt_000018,2026-01-01T00:18:00+00:00,WikiHub,user_0076,view,oauth_app,object_0018,private,success
saas_evt_000019,2026-01-01T00:19:00+00:00,WikiHub,user_0314,download,document,object_0019,private,success
saas_evt_000020,2026-01-01T00:20:00+00:00,WikiHub,user_0421,download,folder,object_0020,private,success
